시간,이전_익절(%),이전_손절(%),변경_익절(%),변경_손절(%),예상승률(%),예상수익(USDT),대상거래수
2026-05-19 22:29:23,1.2,0.8,1.3,1.6,52.8,6.93,36
2026-05-19 22:47:26,1.2,0.8,1.3,1.6,50.0,5.14,38
2026-05-19 22:48:43,1.2,0.8,1.3,1.6,44.7,4.13,38
2026-05-19 23:03:08,1.3,1.6,1.3,1.4,33.3,1.97,33
2026-05-19 23:03:28,1.3,1.6,1.3,1.4,33.3,1.97,33
2026-05-19 23:15:20,1.3,1.4,0.5,1.1,50.0,3.07,30
2026-05-19 23:15:36,1.2,0.8,0.5,1.1,50.0,3.07,30
2026-05-19 23:15:40,1.3,1.4,0.5,1.1,50.0,3.07,30
2026-05-19 23:16:38,0.5,1.1,0.5,1.8,51.6,3.42,31
2026-05-19 23:17:46,0.5,1.1,0.5,1.8,51.6,3.42,31
2026-05-19 23:17:49,0.5,1.1,0.5,1.8,51.6,3.42,31
2026-05-19 23:22:57,0.5,1.8000000000000003,0.5,1.9,53.1,2.1,32
2026-05-19 23:24:09,0.5,1.8000000000000003,0.5,1.9,53.1,2.1,32
2026-05-19 23:24:10,0.5,1.8000000000000003,0.5,1.9,53.1,2.1,32
2026-05-19 23:54:33,0.5,1.9,3.0,1.1,32.1,0.94,28
2026-05-19 23:55:13,0.5,1.9,3.0,1.1,32.1,0.94,28
2026-05-19 23:55:39,0.5,1.9,3.0,1.1,32.1,0.94,28
2026-05-19 23:57:13,3.0,1.1,0.5,1.9,60.7,0.49,28
2026-05-19 23:57:37,3.0,1.1,0.5,1.9,60.7,0.49,28
2026-05-19 23:57:49,0.5,1.9,3.0,1.9,34.5,0.89,29
2026-05-19 23:57:56,0.5,1.9,3.0,1.9,34.5,0.89,29
2026-05-19 23:58:28,3.0,1.1,3.0,1.9,37.9,3.47,29
2026-05-19 23:58:47,1.2,0.8,3.0,1.9,37.9,3.47,29
2026-05-20 00:01:09,3.0,1.9,3.0,0.9,35.7,3.49,28
2026-05-20 00:01:32,3.0,1.9,3.0,0.9,35.7,3.49,28
2026-05-20 00:02:23,3.0,1.9,3.0,0.9,32.1,3.03,28
2026-05-20 00:02:45,3.0,1.9,3.0,0.9,32.1,3.03,28
2026-05-20 00:16:19,3.0,0.9000000000000001,3.0,0.3,21.7,2.02,23
2026-05-20 00:16:21,3.0,0.9000000000000001,3.0,0.3,20.0,1.6,25
2026-05-21 22:24:53,1.2,0.8,3.0,0.8,30.8,1.59,26
2026-05-21 22:28:47,1.5,1.0,3.0,0.8,30.8,1.59,26
2026-05-21 22:42:36,1.5,0.8,3.0,0.8,33.3,1.92,27
2026-05-21 22:49:07,1.5,1.0,3.0,0.8,35.7,2.44,28
2026-05-21 22:54:15,1.5,0.8,3.0,0.8,36.8,1.83,19
