Category,Symbol,TP (%),SL (%),PnL (%),WinRate,Trades,PF
Large-Cap,BTC-USDT-SWAP,0.8,0.8,0.97,56.4,94,1.05
Large-Cap,BTC-USDT-SWAP,0.8,1.2,3.65,68.2,88,1.19
Large-Cap,BTC-USDT-SWAP,0.8,1.5,5.71,74.4,86,1.31
Large-Cap,BTC-USDT-SWAP,0.8,2.0,4.65,78.3,83,1.24
Large-Cap,BTC-USDT-SWAP,0.8,2.5,2.62,80.2,81,1.12
Large-Cap,BTC-USDT-SWAP,1.0,0.8,-0.95,47.9,94,0.96
Large-Cap,BTC-USDT-SWAP,1.0,1.2,-0.8,57.5,87,0.97
Large-Cap,BTC-USDT-SWAP,1.0,1.5,4.03,67.1,85,1.18
Large-Cap,BTC-USDT-SWAP,1.0,2.0,1.54,70.7,82,1.06
Large-Cap,BTC-USDT-SWAP,1.0,2.5,-0.19,73.8,80,0.99
Large-Cap,BTC-USDT-SWAP,1.5,0.8,-3.06,35.5,93,0.88
Large-Cap,BTC-USDT-SWAP,1.5,1.2,-5.87,42.2,83,0.81
Large-Cap,BTC-USDT-SWAP,1.5,1.5,-2.68,50.6,81,0.91
Large-Cap,BTC-USDT-SWAP,1.5,2.0,0.14,59.7,77,1.0
Large-Cap,BTC-USDT-SWAP,1.5,2.5,-3.17,62.5,72,0.91
Large-Cap,BTC-USDT-SWAP,2.0,0.8,-3.82,28.4,88,0.86
Large-Cap,BTC-USDT-SWAP,2.0,1.2,-7.9,33.8,80,0.76
Large-Cap,BTC-USDT-SWAP,2.0,1.5,-1.61,44.2,77,0.95
Large-Cap,BTC-USDT-SWAP,2.0,2.0,-3.28,50.0,74,0.91
Large-Cap,BTC-USDT-SWAP,2.0,2.5,-3.87,55.1,69,0.9
Large-Cap,BTC-USDT-SWAP,2.5,0.8,-3.77,24.1,87,0.87
Large-Cap,BTC-USDT-SWAP,2.5,1.2,-7.96,29.1,79,0.77
Large-Cap,BTC-USDT-SWAP,2.5,1.5,-0.4,39.5,76,0.99
Large-Cap,BTC-USDT-SWAP,2.5,2.0,-2.11,45.2,73,0.95
Large-Cap,BTC-USDT-SWAP,2.5,2.5,-1.94,50.7,67,0.95
Large-Cap,BTC-USDT-SWAP,3.0,0.8,-4.24,20.7,87,0.86
Large-Cap,BTC-USDT-SWAP,3.0,1.2,-8.51,25.3,79,0.77
Large-Cap,BTC-USDT-SWAP,3.0,1.5,-0.38,35.1,74,0.99
Large-Cap,BTC-USDT-SWAP,3.0,2.0,-1.86,40.8,71,0.96
Large-Cap,BTC-USDT-SWAP,3.0,2.5,-3.35,45.3,64,0.92
Large-Cap,ETH-USDT-SWAP,0.8,0.8,-6.58,47.2,108,0.73
Large-Cap,ETH-USDT-SWAP,0.8,1.2,-7.0,57.4,108,0.76
Large-Cap,ETH-USDT-SWAP,0.8,1.5,-8.42,61.7,107,0.73
Large-Cap,ETH-USDT-SWAP,0.8,2.0,-8.3,68.3,101,0.74
Large-Cap,ETH-USDT-SWAP,0.8,2.5,-2.52,76.8,99,0.91
Large-Cap,ETH-USDT-SWAP,1.0,0.8,-3.04,45.8,107,0.88
Large-Cap,ETH-USDT-SWAP,1.0,1.2,-3.67,55.1,107,0.88
Large-Cap,ETH-USDT-SWAP,1.0,1.5,-5.06,59.4,106,0.85
Large-Cap,ETH-USDT-SWAP,1.0,2.0,-5.12,66.0,100,0.86
Large-Cap,ETH-USDT-SWAP,1.0,2.5,1.51,74.7,99,1.05
Large-Cap,ETH-USDT-SWAP,1.5,0.8,-7.81,31.8,107,0.75
Large-Cap,ETH-USDT-SWAP,1.5,1.2,-8.37,41.3,104,0.78
Large-Cap,ETH-USDT-SWAP,1.5,1.5,-9.21,46.6,103,0.78
Large-Cap,ETH-USDT-SWAP,1.5,2.0,-11.32,52.6,97,0.76
Large-Cap,ETH-USDT-SWAP,1.5,2.5,-13.35,57.3,96,0.74
Large-Cap,ETH-USDT-SWAP,2.0,0.8,-10.31,24.3,107,0.7
Large-Cap,ETH-USDT-SWAP,2.0,1.2,-13.11,31.7,104,0.69
Large-Cap,ETH-USDT-SWAP,2.0,1.5,-14.14,36.9,103,0.71
Large-Cap,ETH-USDT-SWAP,2.0,2.0,-14.17,44.2,95,0.73
Large-Cap,ETH-USDT-SWAP,2.0,2.5,-18.37,47.8,92,0.68
Large-Cap,ETH-USDT-SWAP,2.5,0.8,-5.91,23.4,107,0.83
Large-Cap,ETH-USDT-SWAP,2.5,1.2,-9.14,29.8,104,0.8
Large-Cap,ETH-USDT-SWAP,2.5,1.5,-11.17,34.0,103,0.79
