Symbol,SL (%),PnL (%),WinRate,Trades,MDD (%),PF
BTC-USDT-SWAP,0.5,-4.61,32.7,104,-4.77,0.77
BTC-USDT-SWAP,0.7,-2.57,42.9,98,-4.3,0.88
BTC-USDT-SWAP,0.9,-1.01,50.5,93,-3.75,0.95
BTC-USDT-SWAP,1.1,-1.04,55.2,87,-5.57,0.96
BTC-USDT-SWAP,1.3,-0.82,59.3,86,-6.29,0.97
BTC-USDT-SWAP,1.5,4.03,67.1,85,-3.69,1.18
BTC-USDT-SWAP,1.7,1.58,67.5,83,-5.04,1.06
BTC-USDT-SWAP,1.9,-0.17,68.3,82,-5.37,0.99
BTC-USDT-SWAP,2.1,-0.14,70.4,81,-5.48,0.99
BTC-USDT-SWAP,2.3,0.29,72.5,80,-4.24,1.01
BTC-USDT-SWAP,2.5,-0.19,73.8,80,-5.11,0.99
BTC-USDT-SWAP,2.7,-2.74,73.4,79,-7.01,0.91
BTC-USDT-SWAP,2.9,-1.43,75.6,78,-7.92,0.95
ETH-USDT-SWAP,0.5,-4.73,32.7,107,-5.92,0.77
ETH-USDT-SWAP,0.7,-5.13,40.2,107,-7.17,0.79
ETH-USDT-SWAP,0.9,0.65,52.3,107,-4.26,1.03
ETH-USDT-SWAP,1.1,-1.32,55.1,107,-5.27,0.95
ETH-USDT-SWAP,1.3,-5.97,55.1,107,-7.67,0.82
ETH-USDT-SWAP,1.5,-5.06,59.4,106,-7.98,0.85
ETH-USDT-SWAP,1.7,-2.75,64.1,103,-6.83,0.92
ETH-USDT-SWAP,1.9,-4.87,65.0,100,-7.73,0.86
ETH-USDT-SWAP,2.1,-6.74,66.0,100,-9.36,0.82
ETH-USDT-SWAP,2.3,-0.48,72.0,100,-6.86,0.99
ETH-USDT-SWAP,2.5,1.51,74.7,99,-5.42,1.05
ETH-USDT-SWAP,2.7,2.25,76.5,98,-5.9,1.07
ETH-USDT-SWAP,2.9,6.56,80.0,95,-4.96,1.22
SOL-USDT-SWAP,0.5,-8.17,27.3,99,-9.32,0.6
SOL-USDT-SWAP,0.7,-8.56,35.4,99,-9.65,0.64
SOL-USDT-SWAP,0.9,-11.34,38.8,98,-12.1,0.6
SOL-USDT-SWAP,1.1,-10.04,45.8,96,-11.03,0.66
SOL-USDT-SWAP,1.3,-11.42,48.9,94,-12.23,0.63
SOL-USDT-SWAP,1.5,-11.38,52.7,91,-11.82,0.64
SOL-USDT-SWAP,1.7,-13.21,54.4,90,-13.61,0.61
SOL-USDT-SWAP,1.9,-12.15,58.4,89,-13.15,0.65
SOL-USDT-SWAP,2.1,-11.33,61.8,89,-12.32,0.68
SOL-USDT-SWAP,2.3,-12.9,62.9,89,-14.62,0.65
SOL-USDT-SWAP,2.5,-14.66,63.6,88,-16.02,0.62
SOL-USDT-SWAP,2.7,-16.22,64.4,87,-17.31,0.59
SOL-USDT-SWAP,2.9,-16.72,65.5,84,-18.11,0.58
XRP-USDT-SWAP,0.5,-10.16,25.0,104,-10.16,0.52
XRP-USDT-SWAP,0.7,-9.62,34.3,102,-9.62,0.61
XRP-USDT-SWAP,0.9,-5.7,45.5,99,-6.13,0.78
XRP-USDT-SWAP,1.1,-3.74,52.6,97,-4.8,0.86
XRP-USDT-SWAP,1.3,-5.3,55.2,96,-6.15,0.82
XRP-USDT-SWAP,1.5,-6.28,57.9,95,-6.94,0.79
XRP-USDT-SWAP,1.7,-5.41,61.7,94,-6.38,0.83
XRP-USDT-SWAP,1.9,-4.14,65.2,89,-5.8,0.86
XRP-USDT-SWAP,2.1,-5.47,66.3,86,-7.54,0.82
XRP-USDT-SWAP,2.3,-5.11,68.6,86,-7.32,0.84
XRP-USDT-SWAP,2.5,-7.67,68.6,86,-9.14,0.77
XRP-USDT-SWAP,2.7,-5.87,71.4,84,-7.38,0.82
XRP-USDT-SWAP,2.9,-7.18,72.0,82,-9.1,0.78
DOGE-USDT-SWAP,0.5,-5.87,31.1,106,-6.19,0.72
DOGE-USDT-SWAP,0.7,-4.76,40.6,106,-5.18,0.8
DOGE-USDT-SWAP,0.9,-5.79,45.7,105,-6.62,0.79
DOGE-USDT-SWAP,1.1,-6.67,50.0,104,-8.36,0.78
DOGE-USDT-SWAP,1.3,-4.43,56.3,103,-8.0,0.85
DOGE-USDT-SWAP,1.5,-4.42,59.8,102,-6.43,0.86
DOGE-USDT-SWAP,1.7,-4.49,62.7,102,-7.64,0.87
DOGE-USDT-SWAP,1.9,-8.51,62.4,101,-10.17,0.77
DOGE-USDT-SWAP,2.1,-9.17,64.4,101,-10.93,0.76
DOGE-USDT-SWAP,2.3,-6.42,68.3,101,-11.71,0.83
DOGE-USDT-SWAP,2.5,-7.8,69.3,101,-13.04,0.8
DOGE-USDT-SWAP,2.7,-11.06,69.0,100,-14.35,0.73
DOGE-USDT-SWAP,2.9,-10.37,71.0,100,-15.65,0.74
