Symbol,TP (%),PnL (%),WinRate,Trades,PF
BTC-USDT-SWAP,0.5,-0.8,78.2,87,0.95
BTC-USDT-SWAP,0.7,2.39,74.4,86,1.13
BTC-USDT-SWAP,0.9,5.27,70.9,86,1.26
BTC-USDT-SWAP,1.1,4.28,64.7,85,1.18
BTC-USDT-SWAP,1.3,0.83,57.3,82,1.03
BTC-USDT-SWAP,1.5,-2.68,50.6,81,0.91
BTC-USDT-SWAP,1.7,-2.62,47.5,80,0.92
BTC-USDT-SWAP,1.9,-3.25,44.2,77,0.9
BTC-USDT-SWAP,2.1,-2.7,42.1,76,0.92
BTC-USDT-SWAP,2.3,-3.31,39.5,76,0.91
BTC-USDT-SWAP,2.5,-0.4,39.5,76,0.99
BTC-USDT-SWAP,2.7,2.59,39.5,76,1.07
BTC-USDT-SWAP,2.9,1.95,37.3,75,1.05
ETH-USDT-SWAP,0.5,-7.17,72.2,108,0.69
ETH-USDT-SWAP,0.7,-6.08,66.7,108,0.78
ETH-USDT-SWAP,0.9,-6.88,60.4,106,0.79
ETH-USDT-SWAP,1.1,-8.21,54.7,106,0.78
ETH-USDT-SWAP,1.3,-8.61,50.5,105,0.78
ETH-USDT-SWAP,1.5,-9.21,46.6,103,0.78
ETH-USDT-SWAP,1.7,-7.78,44.7,103,0.83
ETH-USDT-SWAP,1.9,-9.82,40.8,103,0.79
ETH-USDT-SWAP,2.1,-15.6,35.0,103,0.69
ETH-USDT-SWAP,2.3,-14.19,34.0,103,0.73
ETH-USDT-SWAP,2.5,-11.17,34.0,103,0.79
ETH-USDT-SWAP,2.7,-15.43,30.1,103,0.72
ETH-USDT-SWAP,2.9,-20.61,25.7,101,0.62
SOL-USDT-SWAP,0.5,-5.61,72.8,92,0.71
SOL-USDT-SWAP,0.7,-7.89,63.7,91,0.69
SOL-USDT-SWAP,0.9,-9.21,57.1,91,0.69
SOL-USDT-SWAP,1.1,-10.87,51.1,90,0.67
SOL-USDT-SWAP,1.3,-12.31,46.1,89,0.65
SOL-USDT-SWAP,1.5,-10.03,44.9,89,0.72
SOL-USDT-SWAP,1.7,-7.87,43.8,89,0.79
SOL-USDT-SWAP,1.9,-10.53,39.3,89,0.73
SOL-USDT-SWAP,2.1,-7.37,39.3,89,0.82
SOL-USDT-SWAP,2.3,-5.91,38.2,89,0.86
SOL-USDT-SWAP,2.5,-3.86,37.5,88,0.91
SOL-USDT-SWAP,2.7,-0.67,37.5,88,0.98
SOL-USDT-SWAP,2.9,-1.79,35.2,88,0.96
XRP-USDT-SWAP,0.5,-6.11,72.7,99,0.71
XRP-USDT-SWAP,0.7,-7.48,64.6,96,0.71
XRP-USDT-SWAP,0.9,-4.31,62.1,95,0.85
XRP-USDT-SWAP,1.1,-7.36,54.7,95,0.78
XRP-USDT-SWAP,1.3,-7.76,50.5,95,0.78
XRP-USDT-SWAP,1.5,-8.82,46.2,93,0.77
XRP-USDT-SWAP,1.7,-7.84,44.1,93,0.8
XRP-USDT-SWAP,1.9,-5.63,43.0,93,0.86
XRP-USDT-SWAP,2.1,-3.57,41.9,93,0.92
XRP-USDT-SWAP,2.3,-1.66,40.9,93,0.96
XRP-USDT-SWAP,2.5,-1.11,39.1,92,0.97
XRP-USDT-SWAP,2.7,-2.23,36.7,90,0.95
XRP-USDT-SWAP,2.9,1.01,36.7,90,1.02
DOGE-USDT-SWAP,0.5,-4.37,74.8,103,0.79
DOGE-USDT-SWAP,0.7,-5.74,66.7,102,0.78
DOGE-USDT-SWAP,0.9,-5.02,61.8,102,0.84
DOGE-USDT-SWAP,1.1,-4.01,57.8,102,0.88
DOGE-USDT-SWAP,1.3,-1.02,55.9,102,0.97
DOGE-USDT-SWAP,1.5,-4.27,50.0,102,0.89
DOGE-USDT-SWAP,1.7,-0.89,49.0,102,0.98
DOGE-USDT-SWAP,1.9,0.66,47.1,102,1.02
DOGE-USDT-SWAP,2.1,-1.76,43.1,102,0.96
DOGE-USDT-SWAP,2.3,-1.2,41.2,102,0.97
DOGE-USDT-SWAP,2.5,-1.05,39.2,102,0.98
DOGE-USDT-SWAP,2.7,0.81,38.2,102,1.02
DOGE-USDT-SWAP,2.9,2.49,37.3,102,1.05
